From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
SCN1B	Q07699	reviewed	SCN1B_HUMAN	Sodium channel regulatory subunit beta-1	SCN1B	Homo sapiens (Human)	218
SCN2B	O60939	reviewed	SCN2B_HUMAN	Sodium channel regulatory subunit beta-2	SCN2B UNQ326/PRO386	Homo sapiens (Human)	215
SCN3B	Q9NY72	reviewed	SCN3B_HUMAN	Sodium channel regulatory subunit beta-3	SCN3B KIAA1158	Homo sapiens (Human)	215
SCN4B	Q8IWT1	reviewed	SCN4B_HUMAN	Sodium channel regulatory subunit beta-4	SCN4B	Homo sapiens (Human)	228
KCNA1	Q09470	reviewed	KCNA1_HUMAN	Potassium voltage-gated channel subfamily A member 1 (Voltage-gated K(+) channel HuKI) (Voltage-gated potassium channel HBK1) (Voltage-gated potassium channel subunit Kv1.1)	KCNA1	Homo sapiens (Human)	495
KCNA2	P16389	reviewed	KCNA2_HUMAN	Potassium voltage-gated channel subfamily A member 2 (NGK1) (Voltage-gated K(+) channel HuKIV) (Voltage-gated potassium channel HBK5) (Voltage-gated potassium channel subunit Kv1.2)	KCNA2	Homo sapiens (Human)	499
KCNB1	Q14721	reviewed	KCNB1_HUMAN	Potassium voltage-gated channel subfamily B member 1 (Delayed rectifier potassium channel 1) (DRK1) (h-DRK1) (Voltage-gated potassium channel subunit Kv2.1)	KCNB1	Homo sapiens (Human)	858
KCNB2	Q92953	reviewed	KCNB2_HUMAN	Potassium voltage-gated channel subfamily B member 2 (Voltage-gated potassium channel subunit Kv2.2)	KCNB2	Homo sapiens (Human)	911
KCNQ1	P51787	reviewed	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)	KCNQ1 KCNA8 KCNA9 KVLQT1	Homo sapiens (Human)	676
KCNQ2	O43526	reviewed	KCNQ2_HUMAN	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	KCNQ2	Homo sapiens (Human)	872
KCNQ3	O43525	reviewed	KCNQ3_HUMAN	Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)	KCNQ3	Homo sapiens (Human)	872
KCNH2	Q12809	reviewed	KCNH2_HUMAN	Voltage-gated inwardly rectifying potassium channel KCNH2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Potassium voltage-gated channel subfamily H member 2) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
KCNE1	P15382	reviewed	KCNE1_HUMAN	Potassium voltage-gated channel subfamily E member 1 (Delayed rectifier potassium channel subunit IsK) (IKs producing slow voltage-gated potassium channel subunit beta Mink) (Minimal potassium channel) (MinK)	KCNE1	Homo sapiens (Human)	129
KCNE2	Q9Y6J6	reviewed	KCNE2_HUMAN	Potassium voltage-gated channel subfamily E member 2 (MinK-related peptide 1) (MiRP1) (Minimum potassium ion channel-related peptide 1) (Potassium channel subunit beta MiRP1)	KCNE2	Homo sapiens (Human)	123
CACNA1A	O00555	reviewed	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	CACNA1A CACH4 CACN3 CACNL1A4	Homo sapiens (Human)	2506
CACNA1B	Q00975	reviewed	CAC1B_HUMAN	Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)	CACNA1B CACH5 CACNL1A5	Homo sapiens (Human)	2339
CACNA1C	Q13936	reviewed	CAC1C_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	Homo sapiens (Human)	2221
CACNA1D	Q01668	reviewed	CAC1D_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)	CACNA1D CACH3 CACN4 CACNL1A2 CCHL1A2	Homo sapiens (Human)	2161
CACNA1S	Q13698	reviewed	CAC1S_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)	CACNA1S CACH1 CACN1 CACNL1A3	Homo sapiens (Human)	1873
CACNB1	Q02641	reviewed	CACB1_HUMAN	Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1)	CACNB1 CACNLB1	Homo sapiens (Human)	598
CACNB2	Q08289	reviewed	CACB2_HUMAN	Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2) (Lambert-Eaton myasthenic syndrome antigen B) (MYSB)	CACNB2 CACNLB2 MYSB	Homo sapiens (Human)	660
CACNA2D1	P54289	reviewed	CA2D1_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	CACNA2D1 CACNL2A CCHL2A MHS3	Homo sapiens (Human)	1103
CACNG1	Q06432	reviewed	CCG1_HUMAN	Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma)	CACNG1 CACNLG	Homo sapiens (Human)	222
GRIA1	P42261	reviewed	GRIA1_HUMAN	Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1)	GRIA1 GLUA1 GLUH1 GLUR1	Homo sapiens (Human)	906
GRIA2	P42262	reviewed	GRIA2_HUMAN	Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2)	GRIA2 GluA2 GLUR2	Homo sapiens (Human)	883
GRIA3	P42263	reviewed	GRIA3_HUMAN	Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3)	GRIA3 GluA3 GLUR3 GLURC	Homo sapiens (Human)	894
GRIA4	P48058	reviewed	GRIA4_HUMAN	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4)	GRIA4 GluA4 GLUR4	Homo sapiens (Human)	902
GRIN1	Q05586	reviewed	NMDZ1_HUMAN	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1) (hNR1)	GRIN1 NMDAR1	Homo sapiens (Human)	938
GRIN2A	Q12879	reviewed	NMDE1_HUMAN	Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)	GRIN2A NMDAR2A	Homo sapiens (Human)	1464
GRIN2B	Q13224	reviewed	NMDE2_HUMAN	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)	GRIN2B NMDAR2B	Homo sapiens (Human)	1484
GRIN2C	Q14957	reviewed	NMDE3_HUMAN	Glutamate receptor ionotropic, NMDA 2C (GluN2C) (Glutamate [NMDA] receptor subunit epsilon-3) (N-methyl D-aspartate receptor subtype 2C) (NMDAR2C) (NR2C)	GRIN2C NMDAR2C	Homo sapiens (Human)	1233
GRIN2D	O15399	reviewed	NMDE4_HUMAN	Glutamate receptor ionotropic, NMDA 2D (GluN2D) (EB11) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D) (NMDAR2D) (NR2D)	GRIN2D GluN2D NMDAR2D	Homo sapiens (Human)	1336
GRIK1	P39086	reviewed	GRIK1_HUMAN	Glutamate receptor ionotropic, kainate 1 (GluK1) (Excitatory amino acid receptor 3) (EAA3) (Glutamate receptor 5) (GluR-5) (GluR5)	GRIK1 GLUR5	Homo sapiens (Human)	918
GRIK2	Q13002	reviewed	GRIK2_HUMAN	Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)	GRIK2 GLUR6	Homo sapiens (Human)	908
GABRA1	P14867	reviewed	GBRA1_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1) (GABAAR subunit alpha-1)	GABRA1	Homo sapiens (Human)	456
GABRA2	P47869	reviewed	GBRA2_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2) (GABAAR subunit alpha-2)	GABRA2	Homo sapiens (Human)	451
GABRA3	P34903	reviewed	GBRA3_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3) (GABAAR subunit alpha-3)	GABRA3	Homo sapiens (Human)	492
GABRA5	P31644	reviewed	GBRA5_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5) (GABAAR subunit alpha-5)	GABRA5	Homo sapiens (Human)	462
GABRB1	P18505	reviewed	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1) (GABAAR subunit beta-1)	GABRB1	Homo sapiens (Human)	474
GABRB2	P47870	reviewed	GBRB2_HUMAN	Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2) (GABAAR subunit beta-2)	GABRB2	Homo sapiens (Human)	512
GABRB3	P28472	reviewed	GBRB3_HUMAN	Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3)	GABRB3	Homo sapiens (Human)	473
GABRG2	P18507	reviewed	GBRG2_HUMAN	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2) (GABAAR subunit gamma-2)	GABRG2	Homo sapiens (Human)	475
GABRD	O14764	reviewed	GBRD_HUMAN	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta) (GABAAR subunit delta)	GABRD	Homo sapiens (Human)	452
ABCB1	P08183	reviewed	MDR1_HUMAN	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1	Homo sapiens (Human)	1280
ABCB4	P21439	reviewed	MDR3_HUMAN	Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)	ABCB4 MDR3 PGY3	Homo sapiens (Human)	1286
ABCB11	O95342	reviewed	ABCBB_HUMAN	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	ABCB11 BSEP	Homo sapiens (Human)	1321
ABCC1	P33527	reviewed	MRP1_HUMAN	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	Homo sapiens (Human)	1531
ABCC2	Q92887	reviewed	MRP2_HUMAN	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	1545
ABCC7	P13569	reviewed	CFTR_HUMAN	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	CFTR ABCC7	Homo sapiens (Human)	1480
ABCG2	Q9UNQ0	reviewed	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	655
ATP6V1A	P38606	reviewed	VATA_HUMAN	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)	ATP6V1A ATP6A1 ATP6V1A1 VPP2	Homo sapiens (Human)	617
ATP6V1B1	P15313	reviewed	VATB1_HUMAN	V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)	ATP6V1B1 ATP6B1 VATB VPP3	Homo sapiens (Human)	513
ATP6V1B2	P21281	reviewed	VATB2_HUMAN	V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)	ATP6V1B2 ATP6B2 VPP3	Homo sapiens (Human)	511
ATP6V1C1	P21283	reviewed	VATC1_HUMAN	V-type proton ATPase subunit C 1 (V-ATPase subunit C 1) (Vacuolar proton pump subunit C 1)	ATP6V1C1 ATP6C ATP6D VATC	Homo sapiens (Human)	382
ATP6V1D	Q9Y5K8	reviewed	VATD_HUMAN	V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D)	ATP6V1D ATP6M VATD	Homo sapiens (Human)	247
ATP6V1E1	P36543	reviewed	VATE1_HUMAN	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)	ATP6V1E1 ATP6E ATP6E2	Homo sapiens (Human)	226
ATP6V1F	Q16864	reviewed	VATF_HUMAN	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	ATP6V1F ATP6S14 VATF	Homo sapiens (Human)	119
ATP6V1G1	O75348	reviewed	VATG1_HUMAN	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)	ATP6V1G1 ATP6G ATP6G1 ATP6J	Homo sapiens (Human)	118
ATP6V1H	Q9UI12	reviewed	VATH_HUMAN	V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD)	ATP6V1H CGI-11	Homo sapiens (Human)	483
ATP6V0A1	Q93050	reviewed	VPP1_HUMAN	V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)	ATP6V0A1 ATP6N1 ATP6N1A VPP1	Homo sapiens (Human)	837
ATP6V0C	P27449	reviewed	VATL_HUMAN	V-type proton ATPase 16 kDa proteolipid subunit c (V-ATPase 16 kDa proteolipid subunit c) (Vacuolar proton pump 16 kDa proteolipid subunit c)	ATP6V0C ATP6C ATP6L ATPL	Homo sapiens (Human)	155
ATP6V0D1	P61421	reviewed	VA0D1_HUMAN	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)	ATP6V0D1 ATP6D VPATPD	Homo sapiens (Human)	351
CCND1	P24385	reviewed	CCND1_HUMAN	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	Homo sapiens (Human)	295
CCND2	P30279	reviewed	CCND2_HUMAN	G1/S-specific cyclin-D2	CCND2	Homo sapiens (Human)	289
CCND3	P30281	reviewed	CCND3_HUMAN	G1/S-specific cyclin-D3	CCND3	Homo sapiens (Human)	292
CCNE1	P24864	reviewed	CCNE1_HUMAN	G1/S-specific cyclin-E1	CCNE1 CCNE	Homo sapiens (Human)	410
CCNE2	O96020	reviewed	CCNE2_HUMAN	G1/S-specific cyclin-E2	CCNE2	Homo sapiens (Human)	404
CCNA2	P20248	reviewed	CCNA2_HUMAN	Cyclin-A2 (Cyclin-A) (Cyclin A)	CCNA2 CCN1 CCNA	Homo sapiens (Human)	432
CCNB1	P14635	reviewed	CCNB1_HUMAN	G2/mitotic-specific cyclin-B1	CCNB1 CCNB	Homo sapiens (Human)	433
CCNB2	O95067	reviewed	CCNB2_HUMAN	G2/mitotic-specific cyclin-B2	CCNB2	Homo sapiens (Human)	398
CDK4	P11802	reviewed	CDK4_HUMAN	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	Homo sapiens (Human)	303
CDK6	Q00534	reviewed	CDK6_HUMAN	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	326
CDK2	P24941	reviewed	CDK2_HUMAN	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2 CDKN2	Homo sapiens (Human)	298
CDK1	P06493	reviewed	CDK1_HUMAN	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	297
CDKN1A	P38936	reviewed	CDN1A_HUMAN	Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21)	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	Homo sapiens (Human)	164
CDKN1B	P46527	reviewed	CDN1B_HUMAN	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1 p27	Homo sapiens (Human)	198
CDKN2A	P42771	reviewed	CDN2A_HUMAN	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	Homo sapiens (Human)	156
ANAPC1	Q9H1A4	reviewed	APC1_HUMAN	Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	ANAPC1 TSG24	Homo sapiens (Human)	1944
ANAPC2	Q9UJX6	reviewed	ANC2_HUMAN	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)	ANAPC2 APC2 KIAA1406	Homo sapiens (Human)	822
ANAPC4	Q9UJX5	reviewed	APC4_HUMAN	Anaphase-promoting complex subunit 4 (APC4) (Cyclosome subunit 4)	ANAPC4 APC4	Homo sapiens (Human)	808
ANAPC5	Q9UJX4	reviewed	APC5_HUMAN	Anaphase-promoting complex subunit 5 (APC5) (Cyclosome subunit 5)	ANAPC5 APC5	Homo sapiens (Human)	755
ANAPC7	Q9UJX3	reviewed	APC7_HUMAN	Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7)	ANAPC7 APC7	Homo sapiens (Human)	565
ANAPC10	Q9UM13	reviewed	APC10_HUMAN	Anaphase-promoting complex subunit 10 (APC10) (Cyclosome subunit 10)	ANAPC10 APC10	Homo sapiens (Human)	185
ANAPC11	Q9NYG5	reviewed	APC11_HUMAN	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)	ANAPC11 HSPC214	Homo sapiens (Human)	84
ANAPC13	Q9BS18	reviewed	APC13_HUMAN	Anaphase-promoting complex subunit 13 (APC13) (Cyclosome subunit 13)	ANAPC13	Homo sapiens (Human)	74
ANAPC15	P60006	reviewed	APC15_HUMAN	Anaphase-promoting complex subunit 15 (APC15)	ANAPC15 C11orf51 HSPC020	Homo sapiens (Human)	121
ANAPC16	Q96DE5	reviewed	APC16_HUMAN	Anaphase-promoting complex subunit 16 (APC16) (Cyclosome subunit 16)	ANAPC16 C10orf104 CENP-27	Homo sapiens (Human)	110
CDC16	Q13042	reviewed	CDC16_HUMAN	Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (CDC16 homolog) (CDC16Hs) (Cyclosome subunit 6)	CDC16 ANAPC6	Homo sapiens (Human)	620
CDC23	Q9UJX2	reviewed	CDC23_HUMAN	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)	CDC23 ANAPC8	Homo sapiens (Human)	597
CDC26	Q8NHZ8	reviewed	CDC26_HUMAN	Anaphase-promoting complex subunit CDC26 (Anaphase-promoting complex subunit 12) (APC12) (Cell division cycle protein 26 homolog)	CDC26 ANAPC12 C9orf17	Homo sapiens (Human)	85
CDC20	Q12834	reviewed	CDC20_HUMAN	Cell division cycle protein 20 homolog (p55CDC)	CDC20	Homo sapiens (Human)	499
FZR1	Q9UM11	reviewed	FZR1_HUMAN	Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1)	FZR1 CDH1 FYR FZR KIAA1242	Homo sapiens (Human)	496
CASP3	P42574	reviewed	CASP3_HUMAN	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
CASP6	P55212	reviewed	CASP6_HUMAN	Caspase-6 (CASP-6) (CSP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10)]	CASP6 MCH2	Homo sapiens (Human)	293
CASP7	P55210	reviewed	CASP7_HUMAN	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	Homo sapiens (Human)	303
CASP8	Q14790	reviewed	CASP8_HUMAN	Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	Homo sapiens (Human)	479
CASP10	Q92851	reviewed	CASPA_HUMAN	Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12]	CASP10 MCH4	Homo sapiens (Human)	521
CASP9	P55211	reviewed	CASP9_HUMAN	Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]	CASP9 MCH6	Homo sapiens (Human)	416
BCL2	P10415	reviewed	BCL2_HUMAN	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
BCL2L1	Q07817	reviewed	B2CL1_HUMAN	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL2L BCLX	Homo sapiens (Human)	233
BAX	Q07812	reviewed	BAX_HUMAN	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	BAX BCL2L4	Homo sapiens (Human)	192
BAK1	Q16611	reviewed	BAK_HUMAN	Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7)	BAK1 BAK BCL2L7 CDN1	Homo sapiens (Human)	211
CYCS	P99999	reviewed	CYC_HUMAN	Cytochrome c	CYCS CYC	Homo sapiens (Human)	105
APAF1	O14727	reviewed	APAF_HUMAN	Apoptotic protease-activating factor 1 (APAF-1)	APAF1 KIAA0413	Homo sapiens (Human)	1248
EGFR	P00533	reviewed	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
GRB2	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
SOS1	Q07889	reviewed	SOS1_HUMAN	Son of sevenless homolog 1 (SOS-1)	SOS1	Homo sapiens (Human)	1333
KRAS	P01116	reviewed	RASK_HUMAN	GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]	KRAS KRAS2 RASK2	Homo sapiens (Human)	189
NRAS	P01111	reviewed	RASN_HUMAN	GTPase NRas (EC 3.6.5.2) (Transforming protein N-Ras)	NRAS HRAS1	Homo sapiens (Human)	189
HRAS	P01112	reviewed	RASH_HUMAN	GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189
BRAF	P15056	reviewed	BRAF_HUMAN	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
RAF1	P04049	reviewed	RAF1_HUMAN	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF	Homo sapiens (Human)	648
MAP2K1	Q02750	reviewed	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	Homo sapiens (Human)	393
